"","logFC","logCPM","PValue","FDR"
"YJR148W",1.19626680552802,7.67167919875269,7.41128666168303e-17,4.47738650212576e-15
"YPR160W",2.06959589524249,8.09005432497886,7.41564774730986e-17,4.47738650212576e-15
"YLR108C",-1.94029030795918,5.96416307642246,1.35855298712726e-16,8.11975558063838e-15
"YLL050C",-0.941478549026584,9.06588175267618,2.39829941218497e-16,1.41907376218985e-14
"YPL134C",-1.56495789156112,6.25216471515945,2.5565630633552e-16,1.4977409550369e-14
"YLR155C",-1.00286214060399,7.88093033838218,2.72207573048086e-16,1.55659046981461e-14
"YLR158C",-1.00286080236017,7.88093033838218,2.74131309741173e-16,1.55659046981461e-14
"YLR157C",-1.00286075133005,7.88093033838218,2.74204933953127e-16,1.55659046981461e-14
"YLR160C",-1.00285935688679,7.88093033838218,2.762244369284e-16,1.55659046981461e-14
"YER037W",1.43060093624005,5.37294664829286,3.33373743922216e-16,1.86091739885637e-14
"YOL048C",-1.24268151011453,6.30800031383255,3.86209301376025e-16,2.13570134228218e-14
"YDL022W",1.02307548295649,8.77569988582919,7.89035436646036e-16,4.32289136910611e-14
"YGR138C",1.54252865185202,6.32858997513552,8.51732603438106e-16,4.62357964636998e-14
"YGL255W",1.13978594446237,6.64236017277923,1.0413748666315e-15,5.55207151918293e-14
"YMR272C",1.16065704452374,7.29977589264232,1.04154121789641e-15,5.55207151918293e-14
"YMR045C",1.89685647287866,7.54805149834893,1.23876640182862e-15,6.54444714251781e-14
"YHR214C-B",2.4261187696131,8.02837338882989,1.28700173494937e-15,6.73910554486322e-14
"YLR250W",-0.999976257466162,7.25055596116571,1.95773426365632e-15,1.01613277526794e-13
"YOL110W",-1.60071868252652,6.60837252721252,3.04869474361492e-15,1.56861972156256e-13
"YML055W",-1.47983397358951,5.6583737419737,3.26292037202653e-15,1.6643706759725e-13
"YPL095C",1.47235668970894,6.06281545961402,4.34845781512201e-15,2.19913033265615e-13
"YIL011W",1.56122202381656,5.17876465052381,5.09483085024354e-15,2.55475543566873e-13
"YGR087C",-3.43116501557791,3.75934394215314,5.71617923725316e-15,2.84223802914512e-13
"YGL062W",-1.08642675128647,8.06663302893982,5.93492917522889e-15,2.92641466081911e-13
"YFR030W",-1.36631407931633,6.63752037392791,6.52346898275258e-15,3.19003024553281e-13
"YDR111C",-1.31016006701642,6.81272674695993,1.8201386535343e-14,8.82767246964138e-13
"YOR222W",-0.959647924810139,7.5329037300753,1.86207509830194e-14,8.95764094036797e-13
"YLL061W",-1.30903162965168,6.65216958144166,1.92034253499249e-14,9.16344095125045e-13
"YHR219W",-1.06930065554448,9.54033835214261,2.35844938754812e-14,1.11639560208978e-12
"YMR244C-A",-1.34520620608044,5.74272952274136,2.57244316111247e-14,1.20802747494464e-12
"YGR096W",-1.46810946446377,5.42788921704865,3.9769027898022e-14,1.85286092970548e-12
"YDR019C",2.41122311773962,6.19262404309247,5.73792745126152e-14,2.65244661946206e-12
"YLR417W",-1.16493162885216,6.46827721854481,6.99384732525891e-14,3.20795307159356e-12
"YOR178C",1.29827501629938,6.18078979602207,7.59008307558179e-14,3.45465550447827e-12
"YIL046W",-1.03941040366315,6.77905482390499,8.53861619010897e-14,3.85671694632632e-12
"YLR312C",-1.74758662459641,4.90699019740456,1.0393181295824e-13,4.65882225207503e-12
"YBR230W-A",-1.90885257705059,5.92713690684412,1.261883408548e-13,5.61278230755432e-12
"YLL060C",-1.39382460827626,5.90215917326883,1.27110500120378e-13,5.61278230755432e-12
"YML101C",-1.22272518221985,5.75888442373031,1.31573376415244e-13,5.76681235739999e-12
"YPR036W-A",-1.11783315454045,8.8350458987766,1.37886272385867e-13,5.9990667184351e-12
"YLR350W",-1.02417259226321,8.78959172663188,1.59062609668971e-13,6.86987928037448e-12
"YJR078W",-2.34696763374916,3.95065856596887,1.72461129781541e-13,7.39458336896652e-12
"YNL134C",1.02187150505697,7.29046454804564,1.7755778988625e-13,7.55834131479814e-12
"YIL094C",0.84822357055164,7.7555269585119,2.4293731520414e-13,1.02675721004492e-11
"YMR008C",1.62338814480284,7.76564989112936,2.86048760629865e-13,1.20039043733823e-11
"YPL015C",-1.01974481773167,6.99895246533184,3.1595341669319e-13,1.31654673702367e-11
"YMR195W",1.21003948109861,6.53372404802515,3.20784480601083e-13,1.32732991029133e-11
"YBR014C",-1.23249156362769,6.0330058618027,4.07796424950236e-13,1.67564683779899e-11
"YHR174W",0.882669756749352,13.9470278842612,4.85996358120488e-13,1.98320031103374e-11
"YOR126C",-1.40601630924594,5.10073158279128,5.22352319247851e-13,2.11695799519831e-11
"YMR280C",-1.35786666472321,6.17846274392607,5.68825135756985e-13,2.28961791039053e-11
"YNL300W",1.48702217486486,6.09661918087672,8.42586316524853e-13,3.36863732086321e-11
"YGR233C",1.06716419057514,6.24053231229332,9.2417798075389e-13,3.67004101484615e-11
"YDR059C",-1.29230584678388,5.49112619821547,9.83654760082538e-13,3.87540681510869e-11
